Price,Close,High,Low,Open,Volume
Ticker,USDCNY=X,USDCNY=X,USDCNY=X,USDCNY=X,USDCNY=X
Date,,,,,
2015-01-01,6.196100234985352,6.196100234985352,6.196100234985352,6.196100234985352,0
2015-01-02,6.196100234985352,6.196100234985352,6.196100234985352,6.196100234985352,0
2015-01-05,6.196100234985352,6.196100234985352,6.196100234985352,6.196100234985352,0
2015-01-06,6.208399772644043,6.208399772644043,6.208399772644043,6.208399772644043,0
2015-01-07,6.202000141143799,6.202000141143799,6.202000141143799,6.202000141143799,0
2015-01-08,6.203999996185303,6.203999996185303,6.203999996185303,6.203999996185303,0
2015-01-09,6.203499794006348,6.203499794006348,6.203499794006348,6.203499794006348,0
2015-01-12,6.200300216674805,6.200300216674805,6.200300216674805,6.200300216674805,0
2015-01-13,6.193399906158447,6.193399906158447,6.193399906158447,6.193399906158447,0
2015-01-14,6.187600135803223,6.187600135803223,6.187600135803223,6.187600135803223,0
2015-01-15,6.184000015258789,6.184000015258789,6.184000015258789,6.184000015258789,0
2015-01-16,6.177499771118164,6.177499771118164,6.177499771118164,6.177499771118164,0
2015-01-19,6.197000026702881,6.197000026702881,6.197000026702881,6.197000026702881,0
2015-01-20,6.208000183105469,6.208000183105469,6.208000183105469,6.208000183105469,0
2015-01-21,6.204899787902832,6.204899787902832,6.204899787902832,6.204899787902832,0
2015-01-22,6.201700210571289,6.201700210571289,6.201700210571289,6.201700210571289,0
2015-01-23,6.198999881744385,6.198999881744385,6.198999881744385,6.198999881744385,0
2015-01-26,6.217899799346924,6.217899799346924,6.217899799346924,6.217899799346924,0
2015-01-27,6.245800018310547,6.245800018310547,6.245800018310547,6.245800018310547,0
2015-01-28,6.235099792480469,6.235099792480469,6.235099792480469,6.235099792480469,0
2015-01-29,6.236499786376953,6.236499786376953,6.236499786376953,6.236499786376953,0
2015-01-30,6.236599922180176,6.236599922180176,6.236599922180176,6.236599922180176,0
2015-02-02,6.241000175476074,6.241000175476074,6.241000175476074,6.241000175476074,0
2015-02-03,6.249499797821045,6.249499797821045,6.249499797821045,6.249499797821045,0
2015-02-04,6.245699882507324,6.245699882507324,6.245699882507324,6.245699882507324,0
2015-02-05,6.23769998550415,6.23769998550415,6.23769998550415,6.23769998550415,0
2015-02-06,6.242099761962891,6.242099761962891,6.242099761962891,6.242099761962891,0
2015-02-09,6.233399868011475,6.233399868011475,6.233399868011475,6.233399868011475,0
2015-02-10,6.238800048828125,6.238800048828125,6.238800048828125,6.238800048828125,0
2015-02-11,6.231800079345703,6.231800079345703,6.231800079345703,6.231800079345703,0
2015-02-12,6.2322998046875,6.2322998046875,6.2322998046875,6.2322998046875,0
2015-02-13,6.234499931335449,6.234499931335449,6.234499931335449,6.234499931335449,0
2015-02-16,6.230299949645996,6.230299949645996,6.230299949645996,6.230299949645996,0
2015-02-17,6.23859977722168,6.23859977722168,6.23859977722168,6.23859977722168,0
2015-02-18,6.244100093841553,6.244100093841553,6.244100093841553,6.244100093841553,0
2015-02-19,6.244100093841553,6.244100093841553,6.244100093841553,6.244100093841553,0
2015-02-20,6.244100093841553,6.244100093841553,6.244100093841553,6.244100093841553,0
2015-02-23,6.244100093841553,6.244100093841553,6.244100093841553,6.244100093841553,0
2015-02-24,6.245100021362305,6.245100021362305,6.245100021362305,6.245100021362305,0
2015-02-25,6.245100021362305,6.245100021362305,6.245100021362305,6.245100021362305,0
2015-02-26,6.249499797821045,6.249499797821045,6.249499797821045,6.249499797821045,0
2015-02-27,6.249499797821045,6.249499797821045,6.249499797821045,6.249499797821045,0
2015-03-02,6.258600234985352,6.258600234985352,6.258600234985352,6.258600234985352,0
2015-03-03,6.263700008392334,6.263700008392334,6.263700008392334,6.263700008392334,0
2015-03-04,6.263700008392334,6.263700008392334,6.263700008392334,6.263700008392334,0
