date,VIXCLS,DX-Y.NYB,TMSL10Y,SP500,OIL,GOLD,EURUSD,PBOC_FIXING,USDCNH,CYB_ETF
2015-01-02,17.790000915527344,91.08000183105467,2.122999906539917,2058.199951171875,52.68999862670898,1186.0,1.2089413404464722,6.196100234985352,,25.149999618530273
2015-01-04,,,,,,,,,,
2015-01-05,19.920000076293945,91.37999725341795,2.0390000343322754,2020.5799560546875,50.040000915527344,1203.9000244140625,1.194643259048462,6.196100234985352,,25.139999389648438
2015-01-06,21.1200008392334,91.5,1.963000059127808,2002.6099853515625,47.93000030517578,1219.300048828125,1.193901538848877,6.208399772644043,,25.149999618530273
2015-01-07,19.309999465942383,91.88999938964844,1.9539999961853027,2025.9000244140625,48.650001525878906,1210.5999755859375,1.1875356435775757,6.202000141143799,,25.190000534057617
2015-01-08,17.010000228881836,92.37000274658205,2.0160000324249268,2062.139892578125,48.790000915527344,1208.4000244140625,1.1836000680923462,6.203999996185303,,25.190000534057617
2015-01-09,17.549999237060547,91.94000244140624,1.9709999561309808,2044.81005859375,48.36000061035156,1216.0,1.1796069145202637,6.203499794006348,,25.229999542236328
2015-01-11,,,,,,,,,,
2015-01-12,19.600000381469727,91.9800033569336,1.9119999408721924,2028.260009765625,46.06999969482422,1232.699951171875,1.187070369720459,6.200300216674805,,25.239999771118164
2015-01-13,20.559999465942383,92.30999755859376,1.8899999856948853,2023.030029296875,45.88999938964844,1234.300048828125,1.1831519603729248,6.193399906158447,,25.270099639892578
2015-01-14,21.479999542236328,92.16000366210938,1.837000012397766,2011.27001953125,48.47999954223633,1234.4000244140625,1.1778285503387451,6.187600135803223,,25.299999237060547
2015-01-15,22.38999938964844,92.3499984741211,1.774999976158142,1992.6700439453125,46.25,1264.699951171875,1.178592085838318,6.184000015258789,,25.280000686645508
2015-01-16,20.950000762939453,92.5199966430664,1.815000057220459,2019.4200439453125,48.68999862670898,1276.9000244140625,1.1637378931045532,6.177499771118164,,25.239999771118164
2015-01-18,,,,,,,,,,
2015-01-19,,,,,,,1.1566041707992554,6.197000026702881,,
2015-01-20,19.88999938964844,93.0500030517578,1.807000041007996,2022.550048828125,46.38999938964844,1294.199951171875,1.1597968339920044,6.208000183105469,,25.229999542236328
2015-01-21,18.850000381469727,92.9000015258789,1.8530000448226929,2032.1199951171875,47.77999877929688,1293.699951171875,1.154694437980652,6.204899787902832,,25.229999542236328
2015-01-22,16.399999618530273,94.23999786376952,1.8960000276565552,2063.14990234375,46.310001373291016,1300.699951171875,1.161534547805786,6.201700210571289,,25.239900588989258
2015-01-23,16.65999984741211,95.0,1.8170000314712524,2051.820068359375,45.59000015258789,1292.5999755859375,1.1346745491027832,6.198999881744385,,25.149999618530273
2015-01-25,,,,,,,,,,
2015-01-26,15.520000457763672,94.8000030517578,1.8279999494552608,2057.090087890625,45.150001525878906,1279.4000244140625,1.1125450134277344,6.217899799346924,,25.110000610351562
2015-01-27,17.219999313354492,94.0199966430664,1.825000047683716,2029.550048828125,46.22999954223633,1291.699951171875,1.1247708797454834,6.245800018310547,,25.139999389648438
2015-01-28,20.440000534057617,94.47000122070312,1.7239999771118164,2002.1600341796875,44.45000076293945,1285.9000244140625,1.1367381811141968,6.235099792480469,,25.1200008392334
2015-01-29,18.76000022888184,94.77999877929688,1.7510000467300415,2021.25,44.52999877929688,1254.5999755859375,1.1281461715698242,6.236499786376953,,25.09000015258789
2015-01-30,20.96999931335449,94.8000030517578,1.6749999523162842,1994.989990234375,48.2400016784668,1278.5,1.13355553150177,6.236599922180176,,25.030000686645508
2015-02-01,,,,,,,,,,
2015-02-02,19.43000030517578,94.5,1.6729999780654907,2020.8499755859373,49.56999969482422,1276.199951171875,1.1309019327163696,6.241000175476074,,25.059999465942383
2015-02-03,17.329999923706055,93.5999984741211,1.7799999713897705,2050.030029296875,53.04999923706055,1259.699951171875,1.1341726779937744,6.249499797821045,,25.139999389648438
2015-02-04,18.32999992370605,93.98999786376952,1.7970000505447388,2041.510009765625,48.45000076293945,1263.800048828125,1.145737886428833,6.245699882507324,,25.16990089416504
2015-02-05,16.850000381469727,94.6999969482422,1.815000057220459,2062.52001953125,50.47999954223633,1262.0,1.131874680519104,6.23769998550415,,25.198999404907227
2015-02-06,17.290000915527344,94.6999969482422,1.937999963760376,2055.469970703125,51.68999862670898,1233.9000244140625,1.147196888923645,6.242099761962891,,25.15999984741211
2015-02-08,,,,,,,,,,
2015-02-09,18.549999237060547,94.4499969482422,1.9479999542236328,2046.739990234375,52.86000061035156,1240.800048828125,1.1314393281936646,6.233399868011475,,25.139999389648438
2015-02-10,17.229999542236328,94.76000213623048,1.991000056266785,2068.590087890625,50.02000045776367,1231.5999755859375,1.1326953172683716,6.238800048828125,,25.1299991607666
2015-02-11,16.959999084472656,94.98999786376952,1.9880000352859497,2068.530029296875,48.84000015258789,1219.0,1.1321951150894165,6.231800079345703,,25.11199951171875
2015-02-12,15.34000015258789,94.08999633789062,1.9859999418258667,2088.47998046875,51.209999084472656,1220.0999755859375,1.131196141242981,6.2322998046875,,25.149999618530273
2015-02-13,14.6899995803833,94.1999969482422,2.0209999084472656,2096.989990234375,52.77999877929688,1226.5,1.140393853187561,6.234499931335449,,25.18000030517578
2015-02-15,,,,,,,,,,
2015-02-16,,,,,,,1.1400039196014404,6.230299949645996,,
2015-02-17,15.800000190734863,94.05999755859376,2.1449999809265137,2100.340087890625,53.52999877929688,1208.0999755859375,1.1334012746810913,6.23859977722168,,25.15999984741211
2015-02-18,15.449999809265137,94.1999969482422,2.065999984741211,2099.679931640625,52.13999938964844,1199.699951171875,1.1404719352722168,6.244100093841553,,25.170000076293945
2015-02-19,15.289999961853027,94.4000015258789,2.11299991607666,2097.449951171875,51.15999984741211,1207.0999755859375,1.1400039196014404,6.244100093841553,,25.110000610351562
2015-02-20,14.300000190734863,94.25,2.132999897003174,2110.300048828125,50.34000015258789,1204.4000244140625,1.1366735696792605,6.244100093841553,,25.170000076293945
2015-02-22,,,,,,,,,,
2015-02-23,14.5600004196167,94.56999969482422,2.059000015258789,2109.659912109375,49.45000076293945,1200.300048828125,1.1381484270095823,6.244100093841553,,25.189899444580078
2015-02-24,13.6899995803833,94.48999786376952,1.9880000352859497,2115.47998046875,49.27999877929688,1196.9000244140625,1.1332985162734983,6.245100021362305,,25.149999618530273
2015-02-25,13.84000015258789,94.20999908447266,1.968999981880188,2113.860107421875,50.9900016784668,1201.0,1.1339025497436523,6.245100021362305,,25.149999618530273
2015-02-26,13.90999984741211,95.29000091552734,2.0160000324249268,2110.739990234375,48.16999816894531,1209.5999755859375,1.1363636255264282,6.249499797821045,,25.200000762939453
2015-02-27,13.34000015258789,95.25,2.002000093460083,2104.5,49.7599983215332,1212.5999755859375,1.1205360889434814,6.249499797821045,,25.110000610351562
2015-03-01,,,,,,,,,,
2015-03-02,13.039999961853027,95.45999908447266,2.0840001106262207,2117.389892578125,49.59000015258789,1207.699951171875,1.1161960363388062,6.258600234985352,,25.1299991607666
2015-03-03,13.859999656677246,95.37999725341795,2.121999979019165,2107.780029296875,50.52000045776367,1204.0,1.1179054975509644,6.263700008392334,,25.1299991607666
2015-03-04,14.229999542236328,95.97000122070312,2.122999906539917,2098.530029296875,51.52999877929688,1200.5999755859375,1.118217945098877,6.263700008392334,,25.1299991607666
2015-03-05,14.039999961853027,96.37999725341795,2.111999988555908,2101.0400390625,50.7599983215332,1195.9000244140625,1.1082050800323486,6.260600090026856,,25.18000030517578
2015-03-06,15.199999809265137,97.62000274658205,2.240000009536743,2071.260009765625,49.61000061035156,1164.0999755859375,1.1032048463821411,6.257400035858154,,25.170000076293945
2015-03-08,,,,,,,,,,
2015-03-09,15.0600004196167,97.58999633789062,2.194999933242798,2079.429931640625,50.0,1166.4000244140625,1.0845986604690552,6.253799915313721,,25.18000030517578
2015-03-10,16.690000534057617,98.62000274658205,2.125999927520752,2044.1600341796875,48.290000915527344,1160.0999755859375,1.0833414793014526,6.255000114440918,,25.170000076293945
2015-03-11,16.8700008392334,99.8000030517578,2.108999967575073,2040.239990234375,48.16999816894531,1150.699951171875,1.0708701610565186,6.251999855041504,,25.190000534057617
2015-03-12,15.420000076293944,99.1500015258789,2.095999956130981,2065.949951171875,47.04999923706055,1152.0999755859375,1.0548745393753052,6.251999855041504,,25.209999084472656
2015-03-13,16.0,100.33000183105467,2.111999988555908,2053.39990234375,44.84000015258789,1152.5999755859375,1.0626314878463743,6.251999855041504,,25.200000762939453
2015-03-15,,,,,,,,,,
2015-03-16,15.609999656677246,99.5999984741211,2.0980000495910645,2081.18994140625,43.880001068115234,1153.300048828125,1.0481630563735962,6.248700141906738,,25.229999542236328
